ip_address,status,hostnames,ports,open_ports_count
192.168.1.1,up,"[{'name': '', 'type': ''}]",[],0
192.168.1.10,up,"[{'name': '', 'type': ''}]",[],0
192.168.1.14,up,"[{'name': '', 'type': ''}]",[],0
192.168.1.2,up,"[{'name': '', 'type': ''}]",[],0
192.168.1.21,up,"[{'name': '', 'type': ''}]",[],0
192.168.1.3,up,"[{'name': '', 'type': ''}]",[],0
192.168.1.4,up,"[{'name': '', 'type': ''}]","[{'port': 22, 'protocol': 'tcp', 'state': 'open', 'service': 'ssh', 'service_details': 'ssh ( (OpenSSH 9.7; protocol 2.0)', 'product': 'OpenSSH', 'version': '9.7', 'extra_info': 'protocol 2.0', 'tunnel_type': '', 'ip_address': '192.168.1.4'}]",1
192.168.1.5,up,"[{'name': '', 'type': ''}]",[],0
192.168.1.7,up,"[{'name': '', 'type': ''}]",[],0
192.168.1.8,up,"[{'name': '', 'type': ''}]",[],0
192.168.1.9,up,"[{'name': '', 'type': ''}]",[],0
