ip_address,status,hostnames,ports,open_ports_count
192.168.1.1,up,"[{'name': '', 'type': ''}]","[{'port': 53, 'protocol': 'tcp', 'state': 'open', 'service': 'domain', 'service_details': 'domain (dnsmasq 2.85)', 'product': 'dnsmasq', 'version': '2.85', 'extra_info': '', 'ip_address': '192.168.1.1'}, {'port': 80, 'protocol': 'tcp', 'state': 'open', 'service': 'http', 'service_details': 'http', 'product': '', 'version': '', 'extra_info': '', 'ip_address': '192.168.1.1'}, {'port': 443, 'protocol': 'tcp', 'state': 'open', 'service': 'https', 'service_details': 'https', 'product': '', 'version': '', 'extra_info': '', 'ip_address': '192.168.1.1'}]",3
192.168.1.10,up,"[{'name': '', 'type': ''}]",[],0
192.168.1.11,up,"[{'name': '', 'type': ''}]",[],0
192.168.1.19,up,"[{'name': '', 'type': ''}]",[],0
192.168.1.2,up,"[{'name': '', 'type': ''}]",[],0
192.168.1.20,up,"[{'name': '', 'type': ''}]",[],0
192.168.1.21,up,"[{'name': '', 'type': ''}]",[],0
192.168.1.3,up,"[{'name': '', 'type': ''}]",[],0
192.168.1.5,up,"[{'name': '', 'type': ''}]","[{'port': 53, 'protocol': 'tcp', 'state': 'open', 'service': 'domain', 'service_details': 'domain (dnsmasq 2.85)', 'product': 'dnsmasq', 'version': '2.85', 'extra_info': '', 'ip_address': '192.168.1.5'}, {'port': 80, 'protocol': 'tcp', 'state': 'open', 'service': 'http', 'service_details': 'http', 'product': '', 'version': '', 'extra_info': '', 'ip_address': '192.168.1.5'}, {'port': 443, 'protocol': 'tcp', 'state': 'open', 'service': 'https', 'service_details': 'https', 'product': '', 'version': '', 'extra_info': '', 'ip_address': '192.168.1.5'}]",3
192.168.1.7,up,"[{'name': '', 'type': ''}]",[],0
192.168.1.9,up,"[{'name': '', 'type': ''}]",[],0
