ip_address,status,hostnames,ports,open_ports_count
192.168.1.1,up,"[{'name': '', 'type': ''}]",[],0
192.168.1.10,up,"[{'name': '', 'type': ''}]",[],0
192.168.1.11,up,"[{'name': '', 'type': ''}]",[],0
192.168.1.14,up,"[{'name': '', 'type': ''}]",[],0
192.168.1.2,up,"[{'name': '', 'type': ''}]",[],0
192.168.1.21,up,"[{'name': '', 'type': ''}]",[],0
192.168.1.3,up,"[{'name': '', 'type': ''}]",[],0
192.168.1.4,up,"[{'name': '', 'type': ''}]",[],0
192.168.1.5,up,"[{'name': '', 'type': ''}]",[],0
192.168.1.7,up,"[{'name': '', 'type': ''}]",[],0
192.168.1.8,up,"[{'name': '', 'type': ''}]",[],0
192.168.1.9,up,"[{'name': '', 'type': ''}]",[],0
