ip_address,status,hostnames,os_info,ports,open_ports_count,device_type
192.168.1.1,up,"[{'name': '', 'type': ''}]","{'os_match': 'OpenWrt 18 (Linux 4.14)', 'os_accuracy': 100, 'os_type': 'WAP', 'os_vendor': 'Linux', 'os_family': 'Linux', 'os_generation': '4.X'}","[{'port': 53, 'protocol': 'tcp', 'state': 'open', 'service': 'domain', 'service_details': 'domain ( (dnsmasq 2.85)', 'product': 'dnsmasq', 'version': '2.85', 'extra_info': '', 'tunnel_type': '', 'ip_address': '192.168.1.1'}, {'port': 80, 'protocol': 'tcp', 'state': 'open', 'service': 'http', 'service_details': 'http', 'product': '', 'version': '', 'extra_info': '', 'tunnel_type': '', 'ip_address': '192.168.1.1'}, {'port': 443, 'protocol': 'tcp', 'state': 'open', 'service': 'https', 'service_details': 'https', 'product': '', 'version': '', 'extra_info': '', 'tunnel_type': '', 'ip_address': '192.168.1.1'}]",3,web_server
192.168.1.10,up,"[{'name': '', 'type': ''}]","{'os_match': 'unknown', 'os_accuracy': 80, 'os_type': 'Network Infrastructure', 'os_vendor': 'Microsoft', 'os_family': 'Network Device', 'os_generation': 'unknown'}",[],0,unknown
192.168.1.11,up,"[{'name': '', 'type': ''}]","{'os_match': 'unknown', 'os_accuracy': 80, 'os_type': 'Network Infrastructure', 'os_vendor': 'Microsoft', 'os_family': 'Network Device', 'os_generation': 'unknown'}",[],0,unknown
192.168.1.2,up,"[{'name': '', 'type': ''}]","{'os_match': 'Linux 3.2 - 4.14', 'os_accuracy': 100, 'os_type': 'general purpose', 'os_vendor': 'Linux', 'os_family': 'Linux', 'os_generation': '3.X'}","[{'port': 80, 'protocol': 'tcp', 'state': 'open', 'service': 'http', 'service_details': 'http', 'product': '', 'version': '', 'extra_info': '', 'tunnel_type': '', 'ip_address': '192.168.1.2'}, {'port': 443, 'protocol': 'tcp', 'state': 'open', 'service': 'https', 'service_details': 'https', 'product': '', 'version': '', 'extra_info': '', 'tunnel_type': '', 'ip_address': '192.168.1.2'}]",2,web_server
192.168.1.3,up,"[{'name': '', 'type': ''}]","{'os_match': 'unknown', 'os_accuracy': 80, 'os_type': 'Network Infrastructure', 'os_vendor': 'Microsoft', 'os_family': 'Network Device', 'os_generation': 'unknown'}",[],0,unknown
192.168.1.4,up,"[{'name': '', 'type': ''}]","{'os_match': 'unknown', 'os_accuracy': 80, 'os_type': 'Network Infrastructure', 'os_vendor': 'Microsoft', 'os_family': 'Network Device', 'os_generation': 'unknown'}",[],0,unknown
192.168.1.5,up,"[{'name': '', 'type': ''}]","{'os_match': 'unknown', 'os_accuracy': 80, 'os_type': 'Network Infrastructure', 'os_vendor': 'Microsoft', 'os_family': 'Network Device', 'os_generation': 'unknown'}",[],0,unknown
192.168.1.6,up,"[{'name': '', 'type': ''}]","{'os_match': 'unknown', 'os_accuracy': 80, 'os_type': 'Network Infrastructure', 'os_vendor': 'Microsoft', 'os_family': 'Network Device', 'os_generation': 'unknown'}",[],0,unknown
192.168.1.8,up,"[{'name': '', 'type': ''}]","{'os_match': 'unknown', 'os_accuracy': 80, 'os_type': 'Network Infrastructure', 'os_vendor': 'Microsoft', 'os_family': 'Network Device', 'os_generation': 'unknown'}",[],0,unknown
192.168.1.9,up,"[{'name': '', 'type': ''}]","{'os_match': 'unknown', 'os_accuracy': 80, 'os_type': 'Network Infrastructure', 'os_vendor': 'Microsoft', 'os_family': 'Network Device', 'os_generation': 'unknown'}",[],0,unknown
