ip_address,status,hostnames,ports
192.168.1.1,up,"[{'name': '', 'type': ''}]","[{'port': 53, 'protocol': 'tcp', 'state': 'open', 'service': 'domain'}, {'port': 80, 'protocol': 'tcp', 'state': 'open', 'service': 'http'}, {'port': 443, 'protocol': 'tcp', 'state': 'open', 'service': 'https'}]"
192.168.1.10,up,"[{'name': '', 'type': ''}]",[]
192.168.1.11,up,"[{'name': '', 'type': ''}]",[]
192.168.1.19,up,"[{'name': '', 'type': ''}]",[]
192.168.1.2,up,"[{'name': '', 'type': ''}]",[]
192.168.1.20,up,"[{'name': '', 'type': ''}]","[{'port': 21, 'protocol': 'tcp', 'state': 'filtered', 'service': 'ftp'}, {'port': 25, 'protocol': 'tcp', 'state': 'filtered', 'service': 'smtp'}, {'port': 53, 'protocol': 'tcp', 'state': 'filtered', 'service': 'domain'}, {'port': 113, 'protocol': 'tcp', 'state': 'filtered', 'service': 'ident'}, {'port': 135, 'protocol': 'tcp', 'state': 'filtered', 'service': 'msrpc'}]"
192.168.1.21,up,"[{'name': '', 'type': ''}]",[]
192.168.1.3,up,"[{'name': '', 'type': ''}]",[]
192.168.1.5,up,"[{'name': '', 'type': ''}]","[{'port': 53, 'protocol': 'tcp', 'state': 'open', 'service': 'domain'}, {'port': 80, 'protocol': 'tcp', 'state': 'open', 'service': 'http'}, {'port': 443, 'protocol': 'tcp', 'state': 'open', 'service': 'https'}]"
192.168.1.9,up,"[{'name': '', 'type': ''}]",[]
