ip_address,status,hostnames,os_info,ports,services,device_type,open_ports_count
192.168.1.1,up,"[{'name': '', 'type': ''}]","{'os_match': 'unknown', 'os_accuracy': 80, 'os_type': 'Network Infrastructure', 'os_vendor': 'Microsoft', 'os_family': 'Network Device', 'os_generation': 'unknown'}",[],[],unknown,0
192.168.1.10,up,"[{'name': '', 'type': ''}]","{'os_match': 'unknown', 'os_accuracy': 80, 'os_type': 'Network Infrastructure', 'os_vendor': 'Microsoft', 'os_family': 'Network Device', 'os_generation': 'unknown'}",[],[],unknown,0
192.168.1.2,up,"[{'name': '', 'type': ''}]","{'os_match': 'unknown', 'os_accuracy': 80, 'os_type': 'Network Infrastructure', 'os_vendor': 'Microsoft', 'os_family': 'Network Device', 'os_generation': 'unknown'}",[],[],unknown,0
192.168.1.3,up,"[{'name': '', 'type': ''}]","{'os_match': 'unknown', 'os_accuracy': 80, 'os_type': 'Network Infrastructure', 'os_vendor': 'Microsoft', 'os_family': 'Network Device', 'os_generation': 'unknown'}",[],[],unknown,0
192.168.1.4,up,"[{'name': '', 'type': ''}]","{'os_match': 'unknown', 'os_accuracy': 80, 'os_type': 'Network Infrastructure', 'os_vendor': 'Microsoft', 'os_family': 'Network Device', 'os_generation': 'unknown'}",[],[],unknown,0
192.168.1.5,up,"[{'name': '', 'type': ''}]","{'os_match': 'unknown', 'os_accuracy': 80, 'os_type': 'Network Infrastructure', 'os_vendor': 'Microsoft', 'os_family': 'Network Device', 'os_generation': 'unknown'}",[],[],unknown,0
192.168.1.6,up,"[{'name': '', 'type': ''}]","{'os_match': 'unknown', 'os_accuracy': 80, 'os_type': 'Network Infrastructure', 'os_vendor': 'Microsoft', 'os_family': 'Network Device', 'os_generation': 'unknown'}",[],[],unknown,0
192.168.1.8,up,"[{'name': '', 'type': ''}]","{'os_match': 'unknown', 'os_accuracy': 80, 'os_type': 'Network Infrastructure', 'os_vendor': 'Microsoft', 'os_family': 'Network Device', 'os_generation': 'unknown'}",[],[],unknown,0
192.168.1.9,up,"[{'name': '', 'type': ''}]","{'os_match': 'unknown', 'os_accuracy': 80, 'os_type': 'Network Infrastructure', 'os_vendor': 'Microsoft', 'os_family': 'Network Device', 'os_generation': 'unknown'}",[],[],unknown,0
