ip_address,status,hostnames,os_info,ports,services,device_type,open_ports_count
192.168.1.1,up,"[{'name': '', 'type': ''}]","{'os_match': 'OpenWrt 18 (Linux 4.14)', 'os_accuracy': 100, 'os_type': 'WAP', 'os_vendor': 'Linux', 'os_family': 'Linux', 'os_generation': '4.X'}","[{'port': 53, 'protocol': 'tcp', 'state': 'open', 'service': 'domain', 'service_details': 'domain (dnsmasq 2.85)', 'ip_address': '192.168.1.1'}, {'port': 80, 'protocol': 'tcp', 'state': 'open', 'service': 'http', 'service_details': 'http', 'ip_address': '192.168.1.1'}, {'port': 443, 'protocol': 'tcp', 'state': 'open', 'service': 'https', 'service_details': 'https', 'ip_address': '192.168.1.1'}]","[{'name': 'domain', 'product': 'dnsmasq', 'version': '2.85', 'extra_info': '', 'tunnel': ''}]",unknown,3
192.168.1.10,up,"[{'name': '', 'type': ''}]","{'os_match': 'unknown', 'os_accuracy': 80, 'os_type': 'Network Infrastructure', 'os_vendor': 'Microsoft', 'os_family': 'Network Device', 'os_generation': 'unknown'}",[],[],unknown,0
192.168.1.2,up,"[{'name': '', 'type': ''}]","{'os_match': 'Linux 3.2 - 4.14', 'os_accuracy': 100, 'os_type': 'general purpose', 'os_vendor': 'Linux', 'os_family': 'Linux', 'os_generation': '3.X'}","[{'port': 80, 'protocol': 'tcp', 'state': 'open', 'service': 'http', 'service_details': 'http', 'ip_address': '192.168.1.2'}, {'port': 443, 'protocol': 'tcp', 'state': 'open', 'service': 'https', 'service_details': 'https', 'ip_address': '192.168.1.2'}]",[],unknown,2
192.168.1.3,up,"[{'name': '', 'type': ''}]","{'os_match': 'unknown', 'os_accuracy': 80, 'os_type': 'Network Infrastructure', 'os_vendor': 'Microsoft', 'os_family': 'Network Device', 'os_generation': 'unknown'}",[],[],unknown,0
192.168.1.4,up,"[{'name': '', 'type': ''}]","{'os_match': 'unknown', 'os_accuracy': 80, 'os_type': 'Network Infrastructure', 'os_vendor': 'Microsoft', 'os_family': 'Network Device', 'os_generation': 'unknown'}",[],[],unknown,0
192.168.1.5,up,"[{'name': '', 'type': ''}]","{'os_match': 'unknown', 'os_accuracy': 80, 'os_type': 'Network Infrastructure', 'os_vendor': 'Microsoft', 'os_family': 'Network Device', 'os_generation': 'unknown'}",[],[],unknown,0
192.168.1.6,up,"[{'name': '', 'type': ''}]","{'os_match': 'unknown', 'os_accuracy': 80, 'os_type': 'Network Infrastructure', 'os_vendor': 'Microsoft', 'os_family': 'Network Device', 'os_generation': 'unknown'}",[],[],unknown,0
192.168.1.8,up,"[{'name': '', 'type': ''}]","{'os_match': 'unknown', 'os_accuracy': 80, 'os_type': 'Network Infrastructure', 'os_vendor': 'Microsoft', 'os_family': 'Network Device', 'os_generation': 'unknown'}",[],[],unknown,0
192.168.1.9,up,"[{'name': '', 'type': ''}]","{'os_match': 'unknown', 'os_accuracy': 80, 'os_type': 'Network Infrastructure', 'os_vendor': 'Microsoft', 'os_family': 'Network Device', 'os_generation': 'unknown'}",[],[],unknown,0
